BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMUDC;ACCMU;ACCUNDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2016;290000173;290000041;TYPE1;;18;;;;2;710;85;0;0;0;0;0;0;2533;0;0;0;557;2415;112;611;0;557;0;0;0;4;;557;2249;3627;267;12;0;1;82;118;56;4;;0;0;0
PERINAT;2016;290000181;290000074;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1117;1866;27;0;0;0;0;0;0;0;;0;0;0
PERINAT;2016;290000256;290000017;TYPE1;;12;;;;2;377;44;0;0;0;0;0;0;1327;0;0;0;242;1078;61;338;0;241;0;1;0;3;;243;2538;4250;41;8;0;1;69;59;54;2;0;0;0;0
PERINAT;2016;290000785;220020739;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;0;0;0;;0;0;0
PERINAT;2016;290000934;290000306;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5660;1625;107;;;0;;;;;;;0;
PERINAT;2016;290019777;290022508;TYPE2;;44;6;;;9;2739;244;255;10;0;0;0;0;11153;1414;0;0;2176;10261;400;2385;0;2152;0;24;13;5;;2204;;;;26;0;1;254;336;196;7;;10;0;0
PERINAT;2016;2A0000022;2A0000014;TYPE2;;19;;6;;3;1517;107;0;0;177;6;0;0;6045;0;1400;0;1000;4942;201;1447;1;988;0;12;3;2;;1026;;2855;11;14;0;1;343;355;230;11;8;2;0;0
PERINAT;2016;2A0000154;2A0000204;TYPE1;;8;;;;2;289;35;0;0;0;0;0;0;937;0;0;0;208;861;54;275;0;208;0;0;0;5;;209;;;;0;0;1;12;8;0;0;;0;0;0
PERINAT;2016;2B0000012;2B0000020;TYPE2;;24;0;7;0;3;1336;101;0;0;156;5;0;0;5446;0;1305;0;1013;4932;174;1214;7;991;3;22;5;1;;1049;;;;14;0;1;520;513;398;18;;7;0;0
PERINAT;2016;2B0000145;2B0000053;TYPE1;;16;;;;2;752;66;0;0;0;0;0;0;3111;0;0;0;601;2938;173;939;0;594;0;7;1;4;;608;;;;3;0;1;198;221;0;5;;8;0;0
PERINAT;2016;300000023;300780046;TYPE2;;30;6;0;0;3;1741;111;205;16;0;0;0;0;6844;1174;0;0;1286;5771;331;1826;3;1272;0;14;1;12;;1306;7515;2499;120;5;0;1;431;494;281;14;;0;0;0
PERINAT;2016;300000031;300780053;TYPE2;;21;6;;;3;1320;140;257;6;0;0;0;0;5163;1227;0;0;949;4495;119;784;0;939;1;10;5;5;;964;3861;3400;;14;0;1;182;176;72;16;;1;0;0
PERINAT;2016;300780137;920028396;;;1;;;;;20;19;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;57;87;23;1;;2;0;0
PERINAT;2016;300780228;300000155;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;55;46;40;0;;1;0;0
PERINAT;2016;300781465;300000726;TYPE2;;24;6;;;3;1310;96;123;2;0;0;0;0;4943;982;0;0;1058;4506;248;1335;0;1040;1;18;1;1;;1086;;;;8;0;1;205;206;156;2;;1;0;0
PERINAT;2016;300782117;300780038;TYPE3;;38;15;9;6;5;3845;770;455;7;77;3;289;7;16044;4671;465;3728;2307;12496;577;4769;36;2225;1;82;49;10;;2414;10243;9396;152;86;0;1;538;503;236;79;;102;1;386
PERINAT;2016;300788502;300788486;TYPE1;;32;;;;4;1809;197;0;0;0;0;0;0;6627;0;0;0;1456;6332;334;1882;1;1448;0;8;2;3;;1467;;;;5;0;1;309;293;239;6;;8;0;0
PERINAT;2016;310009279;310780671;TYPE1;;14;;;;2;758;86;0;0;0;0;0;0;2982;0;0;0;449;2345;108;758;1;447;0;2;6;3;;455;6224;5740;44;8;0;1;64;80;34;2;4;4;0;0
PERINAT;2016;310016977;310781406;TYPE3;;109;23;24;14;9;7844;1241;831;47;820;46;316;11;33051;6725;7650;2865;4859;25333;1096;8676;143;4679;15;180;82;3;2;5133;8618;11838;;128;0;1;716;728;235;121;;129;1;698
PERINAT;2016;310026083;310026075;TYPE2;;47;9;;;12;4137;275;423;42;0;0;0;0;15976;2212;0;0;3547;14446;528;3187;17;3506;3;41;17;35;;3601;;;;204;0;1;473;476;301;31;16;20;0;0
PERINAT;2016;310780101;310000039;TYPE1;;20;;;;5;935;107;0;0;0;0;0;0;3122;0;0;0;676;2674;155;819;0;669;0;7;1;1;;687;;;;58;0;1;233;222;156;5;;1;1;802
PERINAT;2016;310780283;310000112;TYPE2;;35;6;;;2;1151;49;103;2;0;0;0;0;4451;714;0;0;977;3851;156;802;3;966;0;11;8;4;;988;;;;21;0;1;65;64;38;4;;6;0;0
PERINAT;2016;310780309;310000120;;;1;;;;;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;45;67;27;0;;0;0;0
PERINAT;2016;310780382;310000179;TYPE2;;69;9;6;;;4134;232;387;5;127;7;0;0;17572;2958;477;0;3407;15542;676;4272;16;3369;0;38;18;18;;3442;;;;53;0;1;472;554;309;11;;18;0;0
PERINAT;2016;310781000;310788880;;;;;;;;5;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;19;18;1;0;;0;0;0
PERINAT;2016;310781067;310788898;TYPE1;;39;;;;5;2819;167;0;0;0;0;0;0;11078;0;0;0;2427;10561;337;1888;4;2413;0;14;10;35;;2441;4544;17276;306;97;0;1;1209;1220;490;181;;7;0;0
PERINAT;2016;310781505;310000492;TYPE1;;20;;;;3;728;61;0;0;0;0;0;0;2871;0;0;0;545;2636;140;899;1;542;0;3;4;2;;551;;;;7;0;1;141;219;96;2;;3;0;0
PERINAT;2016;320000086;320780117;TYPE2;;20;4;;;5;1257;176;100;8;0;0;0;0;4740;1012;0;0;888;4213;162;1112;1;874;1;14;3;6;0;903;5021;13814;87;25;0;1;194;227;122;17;4;1;0;0
PERINAT;2016;320780067;320000052;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;36;40;26;0;;1;0;0
PERINAT;2016;330000340;330780552;TYPE1;;40;;;;6;3140;276;0;0;0;0;0;0;11616;0;0;0;2560;10832;407;2328;0;2552;0;8;40;16;;2568;13315;9628;1053;86;0;1;336;369;27;42;;75;0;0
PERINAT;2016;330000555;330781204;TYPE1;;22;;;;3;1306;124;0;0;0;0;0;0;4655;0;0;0;1009;4305;184;961;0;999;0;10;3;11;;1023;4091;2980;;22;0;1;324;349;190;30;;35;0;0
